"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2011","ANNUAL","00","00","YEAR","","2015-06-03 15:08:31.000","800",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2006","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","2,200",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2005","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","1,600",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2004","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","1,500",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2003","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","2,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2002","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","1,900",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2001","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","2,100",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2000","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","2,500",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","1999","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","2,400",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","1998","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","2,300",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","1997","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","3,100",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","SILAGE","AREA HARVESTED","ACRES","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2020","ANNUAL","00","00","YEAR","","2022-02-24 15:00:14.000","1,710","0.8"
